"filename", "language", "JavaScript", "JSON", "Markdown", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\package-lock.json", "JSON", 0, 20850, 0, 0, 0, 0, 0, 1, 20851
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\package.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 1, 48
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\App.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 6, 48
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\App.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 4, 10
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\Dashboard.css", "CSS", 0, 0, 0, 0, 44, 0, 0, 7, 51
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\EditMeetingsForm.css", "CSS", 0, 0, 0, 0, 52, 0, 0, 9, 61
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\FormContainer.css", "CSS", 0, 0, 0, 0, 95, 0, 0, 15, 110
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\ManageMeetingsPage.css", "CSS", 0, 0, 0, 0, 42, 0, 0, 7, 49
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\Meetingschedule.css", "CSS", 0, 0, 0, 0, 60, 0, 0, 8, 68
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\RecordingPage.css", "CSS", 0, 0, 0, 0, 34, 0, 0, 7, 41
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\SettingsPage.css", "CSS", 0, 0, 0, 0, 42, 0, 0, 7, 49
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\Sidebar.css", "CSS", 0, 0, 0, 0, 49, 0, 0, 9, 58
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\VideoCall.css", "CSS", 0, 0, 0, 0, 76, 0, 0, 12, 88
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\assets\styles\index.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\components\EditMeetingsForm.js", "JavaScript", 75, 0, 0, 0, 0, 0, 3, 7, 85
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\components\Header.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\components\Sidebar.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\components\SignInForm.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\components\Signupform.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 5, 65
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\components\Videocall.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 12, 141
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\components\inviteParticipant.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\components\participants.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\Dashboard.js", "JavaScript", 69, 0, 0, 0, 0, 0, 1, 7, 77
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\Login.js", "JavaScript", 24, 0, 0, 0, 0, 0, 3, 4, 31
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\ManageMeetingsPage.js", "JavaScript", 111, 0, 0, 0, 0, 0, 5, 10, 126
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\MeetingSchedulePage.js", "JavaScript", 74, 0, 0, 0, 0, 0, 1, 8, 83
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\RecordingPage.js", "JavaScript", 59, 0, 0, 0, 0, 0, 2, 8, 69
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\SettingsPage.js", "JavaScript", 56, 0, 0, 0, 0, 0, 1, 7, 64
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\Signup.js", "JavaScript", 15, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\pages\VideoCall.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 10, 109
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\services\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\services\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\services\video.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\acs.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\db.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\dbConfig.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\package-lock.json", "JSON", 0, 3474, 0, 0, 0, 0, 0, 1, 3475
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\package.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 1, 28
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\server.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 5, 35
"Total", "-", 994, 24423, 38, 1, 512, 20, 47, 252, 26287
